Word,Translation,OriginalWord,Transcription
κομψός,élégant,,
καθημερινός,quotidien,,
πικρός,amer,,
φανταστικός,fantastique,,
τρομακτικός,effrayant,,
ντροπαλός,timide,,
αλμυρός,salé,,
περίεργος,curieux,,
υγιεινός,sain,,
υγιής,en bonne santé,,
υπερβολικός,excessif,,
υποχρεωτικός,obligatoire,,
ανυπόμονος,impatient,,
στενός,étroit,,
ισχυρός,puissant,,
υπομονετικός,patient,,
καταπληκτικός,formidable,,
αυστηρός,sévère,,
άδικος,injuste,,
κατάλληλος,approprié,,
διασκεδαστικός,amusant,,
απίστευτος,incroyable,,
δίκαιος,juste,,
ο στίβος,l'athlétisme,,
ο μυς,le muscle,,
μυώδης,musclé,,
το ιδεώδες,l'idéal,,
ο αθλητισμός,le sport,,
ο γυμναστής,le moniteur de fitness,,
η γυμναστική,la gymnastique,,
το άθλημα,le sport,,
ο αθλητής,l'athlète,,
ο εξοπλισμός,l'équipement,,
το ρεκόρ,le record,,
η πάλη,la lutte,,
ο πρωταθλητής,le champion,,
η πυγμαχία,la boxe,,
το βήμα,le pas,,
ο αγώνας,le match,,
ο αρχηγός,le capitaine,,
το πρωτάθλημα,le championnat,,
το γήπεδο,le terrain,,
το βόλεϊ,le volleyball,,
το μπάσκετ,le basketball,,
η μπάλα,le ballon,,
η πετοσφαίριση,le volleyball,,
η καλαθοσφαίριση,le basketball,,
ο πόντος,le point,,
το δίχτυ,le filet,,
το ποδόσφαιρο,le football,,
ο ποδοσφαιριστής,le footballeur,,
ο προπονητής,l'entraîneur,,
εναντίον,contre,,
η ομάδα,l'équipe,,
ο αντίπαλος,l'adversaire,,
ο φίλαθλος,le supporter,,
σκοράρω,marquer,,
η επίθεση,l'attaque,,
το τέρμα,le but,,
κλωτσώ,donner un coup de pied,,
ο αμυντικός,le défenseur,,
ο τερματοφύλακας,le gardien de but,,
ο παίκτης,le joueur,,
σηκωνόμουν,je me levais,,
η μεγάλη περιοχή,la surface de réparation,,
η μικρή περιοχή,la surface de but,,
ο διαιτητής,l'arbitre,,
ο εκφωνητής,le commentateur,,
η άμυνα,la défense,,
ο αθλητικογράφος,le journaliste sportif,,
συγκεντρώνομαι σε κάτι,se concentrer sur quelque chose,,
Άσε με να συγκεντρωθώ,laisse moi me concentrer,,
O Μέλλοντας,le futur (grammair),,
H ειδική περίσταση,l'occasion spéciale,,
πολύ ευχαρίστως,très agréable,,
πολύ ευχάριστες στιγμές,des moments très agréables,,
ο υπάλληλος,l'employé,,
Τι σχεδια εχετε,Qu'est ce que tu as de prévu,,
Αργω,αργησα,,
Δραστηριος,actif,,
Αρρωστος,malade,,
Η Συνταξη,la retraite,,
το ορεκτικο,l'entrée (le plat),,
το κολοκυθι,la courgette,,
η αργία,le jour férié,,
η θπησκεία,la religion,,
ο μουσικός,le musicien,,
η φωνή,la voix,,
η νότα,la note,,
το βιολί,le violon,,
η τέχνη,l'art,,
ο πολιτισμός,la culture,,
η μουσική,la musique,,
το φλάουτο,la flûte,,
η μούσα,la muse,,
η πρόβα,la répétition,,
η συναυλία,le concert,,
η ορχήστρα,l'orchestre,,
το όργανο,l'instrument,,
το πιάνο,le piano,,
ο τραγουδιστής,le chanteur,,
ο ήχος,le son,,
το τραγούδι,la chanson,,
ο φωτογράφος,le photographe,,
ο σκηνοθέτης,le réalisateur,,
το έργο,l'œuvre,,
η παράσταση,la représentation,,
ο χορός,la danse,,
η υποκριτική,le jeu d'acteur,,
η χορογραφία,la chorégraphie,,
η κιθάρα,la guitare,,
η λύρα,la lyre,,
το άγαλμα,la statue,,
ο πίνακας,le tableau,,
η γλυπτική,la sculpture,,
η έκθεση,l'exposition,,
η ζωγραφική,la peinture,,
η παρτιτούρα,la partition,,
παρακολουθώ,regarder,,
η ταινία,le film,,
η φωτογραφία,la photographie,,
η εικόνα,l'image,,
το πινέλο,le pinceau,,
ο ποιητής,le poète,,
ζωγραφίζω,peindre,,
η ποίηση,la poésie,,
ο ζωγράφος,le peintre,,
η συλλογή,la collection,,
ο γλύπτης,le sculpteur,,
η σκηνή,la scène,,
η τραγωδία,la tragédie,,
ταλαντούχος,talentueux,,
η λογοτεχνία,la littérature,,
η κωμωδία,la comédie,,
άταλαντος,sans talent,,
ο πρωταγωνιστής,le protagoniste,,
ασφαλής,sûr(e),,
ανυπομονώ / ανυπομόνησα,avoir hâte,,
αποχαιρετώ / αποχαιρέτησα,dire au revoir,,
προσαρμόζω / προσάρμοσα,s'adapter,,
Συνηθίζω / συνηθισα,s’habituer,,
λαμβάνω / έλαβα,recevoir / j'ai reçu,,
διαλέγω / διάλεξα,choisir / j'ai choisi,,
ανανεώνω / ανανέωσα,renouveler,,
το φυλλάδιο,la brochure,,
το μονόκλινο,la chambre simple,,
η μετακίνηση,le déplacement,,
ο ξεναγός,le guide touristique,,
η ημιδιατροφή,la demi-pension,,
Ζηταω αδεια / ζήτησα,demander la permission,,
το στρώμα,le matelas,,
